name,file,cluster
AddToCart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\AddToCart.aspx.designer.cs,-1
AddToCart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\AddToCart.aspx.cs,-1
_Default,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Default.aspx.cs,-1
ProductList,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ProductList.aspx.cs,-1
ProductDetails,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ProductDetails.aspx.cs,-1
Global,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Global.asax.cs,-1
ErrorPage,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ErrorPage.aspx.designer.cs,-1
ErrorPage,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ErrorPage.aspx.cs,-1
ShoppingCart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ShoppingCart.aspx.cs,-1
ViewSwitcher,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ViewSwitcher.ascx.cs,-1
Startup,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Startup.cs,-1
Site_Mobile,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Site.Mobile.Master.designer.cs,-1
Site_Mobile,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Site.Mobile.Master.cs,-1
SiteMaster,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Site.Master.designer.cs,-1
SiteMaster,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Site.Master.cs,-1
ShoppingCart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ShoppingCart.aspx.designer.cs,-1
ForgotPassword,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Forgot.aspx.cs,-1
Confirm,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Confirm.aspx.cs,-1
AddPhoneNumber,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\AddPhoneNumber.aspx.cs,-1
VerifyPhoneNumber,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\VerifyPhoneNumber.aspx.cs,-1
ApplicationSignInManager,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\IdentityConfig.cs,-1
RouteConfig,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\RouteConfig.cs,-1
ApplicationUserManager,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\IdentityConfig.cs,-1
BundleConfig,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\BundleConfig.cs,-1
ServerConfig,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\ServerConfig.cs,-1
OpenAuthProviders,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\OpenAuthProviders.ascx.cs,-1
ResetPassword,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ResetPassword.aspx.cs,-1
Register,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Register.aspx.cs,-1
ManageLogins,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ManageLogins.aspx.cs,-1
ManagePassword,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ManagePassword.aspx.designer.cs,-1
Login,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Login.aspx.designer.cs,-1
Login,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Login.aspx.cs,-1
HostingEnvironment,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\ServerConfig.cs,-1
AdminPage,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Admin\AdminPage.aspx.cs,-1
TwoFactorAuthenticationSignIn,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\TwoFactorAuthenticationSignIn.aspx.cs,-1
TwoFactorAuthenticationSignIn,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\TwoFactorAuthenticationSignIn.aspx.designer.cs,-1
ExceptionUtility,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\ExceptionUtility.cs,-1
NVPCodec,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\PayPalFunctions.cs,-1
RoleActions,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\RoleActions.cs,-1
CartItem,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\CartItem.cs,-1
Order,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\Order.cs,-1
Category,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\Category.cs,-1
CheckoutReview,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutReview.aspx.designer.cs,-1
ProductContext,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\ProductContext.cs,-1
Product,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\Product.cs,-1
ApplicationUser,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\IdentityModels.cs,-1
ApplicationDbContext,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\IdentityModels.cs,-1
IdentityHelper,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\IdentityModels.cs,-1
BasicSQLServerConnectionStringFormatter,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
BasicAzureMessageBusConnectionStringFormatter,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
BasicAzureStorageConnectionStringFormatter,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
AddProducts,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\AddProducts.cs,-1
BasicMySQLConnectionStringFormatter,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
CheckoutStart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutStart.aspx.cs,-1
AzureStorageCredentials,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
Startup,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\Startup.Auth.cs,-1
AzureSearchCredentials,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,-1
CFEnvironmentVariables,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,0
NVPAPICaller,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\PayPalFunctions.cs,0
ShoppingCartActions,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Logic\ShoppingCartActions.cs,0
